,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,unique_id,athlete_id,activity_id,activity_name,post_id,resource_state,caption,type,source,status,uploaded_at,created_at,created_at_local,default_photo,location,urls.500,sizes.500,urls.1800,sizes.1800
0,0,0,0,0,0.0,0.0,1C041F06-A582-4E51-9232-0BF91237A50E,107351005,11291925681,Geese cheering me on,,2,,1,1,3,2024-04-29T16:34:10Z,2024-04-29T16:24:46Z,2024-04-29T17:24:46Z,False,"[52.933166666666665, -1.14745]",https://dgtzuqphqg23d.cloudfront.net/iyIuR8KfRoDt7QzdA52qMiWJmexS95ob1Iu48dFbmm0-384x512.jpg,"[384, 512]",,
1,1,1,1,1,0.0,,B9E1330C-8BA1-4825-81ED-7965AC76F934,107351005,11315100511,Blister :(,,2,,1,1,3,2024-05-02T13:21:13Z,2024-05-02T12:55:47Z,2024-05-02T13:55:47Z,False,"[52.93521333333333, -1.1389861666666667]",https://dgtzuqphqg23d.cloudfront.net/rWUi-B-GAXydtzLWsQl7EyDt643eu8YWzqKg9gM2bMg-512x384.jpg,"[512, 384]",,
2,2,2,2,2,1.0,,26825B00-0CF6-4420-885A-9E2ECB8D9AD6,107351005,11315100511,Blister :(,,2,,1,1,3,2024-05-02T13:21:13Z,2024-05-02T13:19:38Z,2024-05-02T14:19:38Z,False,"[52.926625, -1.1357111666666666]",https://dgtzuqphqg23d.cloudfront.net/-SALiJVPBZ1YlsWjLfYZHkKdAeZ_38oQl_eZWK3VNlE-384x512.jpg,"[384, 512]",,
3,3,3,3,3,0.0,,3605F3BF-2F10-4FDD-8305-ED25452328D1,107351005,11261037171,Bit rainy,,2,,1,1,3,2024-04-25T13:11:23Z,2024-04-25T13:10:22Z,2024-04-25T14:10:22Z,True,"[52.92715833333333, -1.1382528333333333]",https://dgtzuqphqg23d.cloudfront.net/aVbKEBEzt7NQUs1KP_6uMM4Lk8A_6fFacYys62jUtIA-384x512.jpg,"[384, 512]",,
4,4,4,4,4,0.0,,C2D66ACF-A182-40EC-B5C2-D35B160F6875,107351005,11231043549,Love the river Trent,,2,,1,1,3,2024-04-21T11:56:17Z,2024-04-21T11:32:24Z,2024-04-21T12:32:24Z,False,"[52.93835833333333, -1.15375]",https://dgtzuqphqg23d.cloudfront.net/IgiZ2_chAspGv_ZA8tJF1mQCKBJjSa6LC_Ymghllj0o-512x384.jpg,"[512, 384]",,
5,5,5,5,5,1.0,,9E61E900-3088-4616-9F19-A24DAFBB4BFA,107351005,11231043549,Love the river Trent,,2,,1,1,3,2024-04-21T11:56:14Z,2024-04-21T11:33:44Z,2024-04-21T12:33:44Z,False,"[52.937021666666666, -1.1512166666666666]",https://dgtzuqphqg23d.cloudfront.net/NVyzBLy17fItVmUorlx5rEFMYIAdUP8b3I0tWY3dSyc-512x384.jpg,"[512, 384]",,
6,6,6,6,6,0.0,,CE7B9D67-F12E-4E37-A6FA-7C89D6646D34,107351005,11209485919,Back in Nottingham!,,2,,1,1,3,2024-04-18T12:40:47Z,2024-04-18T12:23:44Z,2024-04-18T13:23:44Z,True,"[52.93762, -1.1546805]",https://dgtzuqphqg23d.cloudfront.net/0cBESdLDFedY7jkn0s4FIIJNPKydzau3-rKg-I9BWXQ-512x384.jpg,"[512, 384]",,
7,7,7,7,7,0.0,,2EEA9E6F-8BB2-44F7-B7F0-3B89D5B7FE59,107351005,11171346143,Jack and Euan!,,2,,1,1,3,2024-04-13T12:08:21Z,2024-04-13T11:54:06Z,2024-04-13T13:54:06Z,False,"[46.21060333333333, 6.735295]",https://dgtzuqphqg23d.cloudfront.net/K04009FayIuJCcgILNr4sne2LDpNVWoY9Hv8lfFF5Uw-512x384.jpg,"[512, 384]",,
8,8,8,8,8,0.0,,9140E6E9-4DE6-42E8-A286-25DE6B6323A5,107351005,11163032531,Goodbye Morzine! 😢⛷️👋,,2,,1,1,3,2024-04-12T10:16:09Z,2024-04-12T10:04:54Z,2024-04-12T12:04:54Z,False,"[46.18953666666667, 6.75287]",https://dgtzuqphqg23d.cloudfront.net/wzrxkjs1pKBb0uYldQy9IbAaAb9DyMMLPwVZEQ5QNlw-512x384.jpg,"[512, 384]",,
9,9,9,9,9,1.0,,19AC5FA5-05CD-4E1B-B86D-2378110F59FC,107351005,11163032531,Goodbye Morzine! 😢⛷️👋,,2,,1,1,3,2024-04-12T10:16:09Z,2024-04-12T09:07:28Z,2024-04-12T11:07:28Z,False,"[46.17881166666667, 6.71178]",https://dgtzuqphqg23d.cloudfront.net/tbN4i9AHkcIZ1yWd6iU8xcDfB6oYQ74dh0hr10dcSCU-512x384.jpg,"[512, 384]",,
10,10,10,10,10,2.0,,78A72F11-8324-4C87-AE01-419ACA5218ED,107351005,11163032531,Goodbye Morzine! 😢⛷️👋,,2,,1,1,3,2024-04-12T10:16:09Z,2024-04-12T10:15:42Z,2024-04-12T12:15:42Z,False,"[46.19032, 6.751738333333334]",https://dgtzuqphqg23d.cloudfront.net/uct8-w1zVffl11uYn4AkE512cc4GsgNRv12hVOxpNnY-384x512.jpg,"[384, 512]",,
11,11,11,11,11,0.0,,7FA9B294-8647-406E-BCA0-316B7B30EDD0,107351005,11103935073,Trail run to Lac de Montriond,,2,,1,1,3,2024-04-04T11:08:10Z,2024-04-04T09:29:28Z,2024-04-04T11:29:28Z,False,"[46.199505, 6.6987749999999995]",https://dgtzuqphqg23d.cloudfront.net/uY4ZobPcsD7MZ2gb4wMnvvk4jASVSvF0Llda4y6TrrU-384x512.jpg,"[384, 512]",,
12,12,12,12,12,1.0,,555A0981-E451-45A2-BBFA-D829874119CC,107351005,11103935073,Trail run to Lac de Montriond,,2,,1,1,3,2024-04-04T11:08:10Z,2024-04-04T10:07:02Z,2024-04-04T12:07:02Z,False,"[46.210278333333335, 6.736153333333333]",https://dgtzuqphqg23d.cloudfront.net/Yj1pS8WVraZTVhMuVOIayrgzRwxK9N24rJIYL7Ttekc-512x384.jpg,"[512, 384]",,
13,13,13,13,13,2.0,,00D16A60-8F9E-43F1-8F06-69381367B3F3,107351005,11103935073,Trail run to Lac de Montriond,,2,,1,1,3,2024-04-04T11:08:10Z,2024-04-04T10:14:57Z,2024-04-04T12:14:57Z,False,"[46.2093, 6.722053333333333]",https://dgtzuqphqg23d.cloudfront.net/zvB6GVd9UcASEyMlluqfuot_c5ojZFL2W_6HQFebMxk-512x384.jpg,"[512, 384]",,
14,14,14,14,14,3.0,,9F307BF0-B6AA-455E-BA9B-8DC547273B10,107351005,11103935073,Trail run to Lac de Montriond,,2,,1,1,3,2024-04-04T11:08:10Z,2024-04-04T09:41:51Z,2024-04-04T11:41:51Z,False,"[46.20408666666667, 6.709646666666667]",https://dgtzuqphqg23d.cloudfront.net/jZW2WJd6xJF6yUsBenMiFoqQozBtxRqeyX3XD-sCc74-384x512.jpg,"[384, 512]",,
15,15,15,15,15,4.0,,B8585603-10E6-4911-9908-3B13C556A7D7,107351005,11103935073,Trail run to Lac de Montriond,,2,,1,1,3,2024-04-04T11:08:10Z,2024-04-04T10:55:03Z,2024-04-04T12:55:03Z,False,"[46.189708333333336, 6.696713333333333]",https://dgtzuqphqg23d.cloudfront.net/_v5bIAfSygB73ZFQaBWRFKZVSDUezT-kUQU2x2cRxZE-512x384.jpg,"[512, 384]",,
16,16,16,16,16,0.0,,F088EA67-488B-4E3B-BC78-DE08B5C0E0F9,107351005,11056536951,Beaut,,2,,1,1,3,2024-03-28T17:41:50Z,2024-03-28T17:06:26Z,2024-03-28T18:06:26Z,False,"[46.187225, 6.7397133333333334]",https://dgtzuqphqg23d.cloudfront.net/-QZfaDY7kNj2Sqwh7bCuHpF7vySvf0jKQyqoLPbiCOw-512x384.jpg,"[512, 384]",,
17,17,17,17,17,0.0,,66A17C6C-99B0-4E38-9CE3-A8F4256DB62D,107351005,10994856897,Think Spring has sprung?,,2,,1,1,3,2024-03-19T18:24:23Z,2024-03-19T17:15:14Z,2024-03-19T18:15:14Z,False,"[46.18971666666667, 6.752258333333334]",https://dgtzuqphqg23d.cloudfront.net/rmwH3uO3Kk4Ly8R0ZTQEuWguNWs-VF95LKeJXtx5ctA-512x384.jpg,"[512, 384]",,
18,18,18,18,18,1.0,,FA90A152-15C9-4F94-83E6-1B06C2E7B1DE,107351005,10994856897,Think Spring has sprung?,,2,,1,1,3,2024-03-19T18:24:22Z,2024-03-19T17:35:47Z,2024-03-19T18:35:47Z,False,"[46.17883, 6.7121216666666665]",https://dgtzuqphqg23d.cloudfront.net/Q-6wLpXtts9gVhDFErdNwQGdN3_maEtf-mivFpfbiZs-512x384.jpg,"[512, 384]",,
