,name,upload_id,id,type,distance,moving_time,average_speed,max_speed,total_elevation_gain,start_date_local,start_time
0,Blister :(,12086552421,11315100511,Run,13012.1,5013,2.596,4.419,67.7,2024-05-02,12:45:38
1,Geese cheering me on,12062716942,11291925681,Run,5015.9,1634,3.07,5.65,10.0,2024-04-29,17:05:02
2,Bit rainy,12030680885,11261037171,Run,8538.2,2999,2.847,4.066,12.6,2024-04-25,13:16:39
3,Love the river Trent,11999810434,11231043549,Run,10047.3,3599,2.792,3.658,65.0,2024-04-21,11:51:06
4,Back in Nottingham!,11977620693,11209485919,Run,5002.0,1640,3.05,4.446,9.5,2024-04-18,13:08:54
5,Jack and Euan!,11938381992,11171346143,Run,4126.4,1342,3.075,6.758,7.8,2024-04-13,13:43:16
6,Goodbye Morzine! 😢⛷️👋,11929840567,11163032531,Run,10656.7,4309,2.473,4.266,217.2,2024-04-12,10:48:44
7,Trail run to Lac de Montriond,11868997808,11103935073,Run,13020.9,6843,1.903,5.388,300.8,2024-04-04,11:08:00
8,Beaut,11818627066,11056536951,Run,6016.9,2313,2.601,4.362,156.4,2024-03-28,18:01:07
9,Think Spring has sprung?,11754550001,10994856897,Run,8514.0,3442,2.474,4.294,193.3,2024-03-19,18:15:31
10,Along the Dranse,11702672683,10945126534,Run,8028.4,3088,2.6,3.704,79.5,2024-03-12,17:47:55
11,Waterfall visit,11603870789,10855669799,Run,12004.9,4861,2.47,4.118,313.4,2024-02-28,16:21:57
12,Ran the whole bus route,11575949335,10828695422,Run,11230.5,4460,2.518,8.46,233.9,2024-02-24,17:21:19
13,Sunrise hike up Mt. Chéry,11537896413,10791692624,Hike,2467.0,3394,0.727,10.271,374.7,2024-02-19,05:44:55
14,Is it cheating to run down and get the bus back up?,11520148662,10774577256,Run,6015.0,1899,3.167,4.692,21.1,2024-02-16,18:16:21
15,Pt 2. Run/walk/slide back down,11491433106,10746654541,Run,2019.3,1054,1.916,3.566,11.0,2024-02-12,14:02:24
16,Pt 1. Hike half way up to Avoriaz,11491433108,10746654603,Hike,2138.9,2048,1.044,3.227,335.3,2024-02-12,13:15:37
17,Go a bit further every time I do the hill,11459762039,10715932949,Run,8053.7,3053,2.638,4.523,181.7,2024-02-07,17:39:18
18,After dropping Simran off at her lesson 💕⛷️,11401098484,10659085467,Run,7058.3,2618,2.696,4.578,160.5,2024-01-30,10:27:32
19,La Cascade de Nyon,11372597840,10631682177,Run,6013.0,2329,2.582,4.031,131.0,2024-01-26,09:23:50
20,Actually can’t cope with how steep this hill is,11332483284,10592620372,Run,6302.8,2533,2.488,4.915,150.2,2024-01-20,09:43:42
21,These steps defeated me,11273333363,10535929341,Run,5170.0,1971,2.623,6.568,67.5,2024-01-11,09:30:54
22,A different sort of après,11228433035,10493079218,Run,5018.9,1904,2.636,4.314,139.5,2024-01-04,16:25:03
23,That incline!,11179602412,10446053324,Run,3051.8,1105,2.762,4.87,94.1,2023-12-27,17:48:16
24,Last run for a while probably! Au revoir Nottingham 👋,11065985919,10336705607,Run,10006.5,3487,2.87,4.076,37.6,2023-12-06,09:24:42
25,Freezing but gorgeous,11038185336,10309973206,Run,6025.2,2155,2.796,3.958,25.2,2023-12-01,07:39:51
26,Got the orange T on,11024281006,10296531709,Run,5002.6,1648,3.036,4.378,52.7,2023-11-28,17:41:57
27,Probs my last time round the Trent for a little while,11013003748,10285677211,Run,10024.0,3364,2.98,4.146,63.3,2023-11-26,14:46:48
28,Soooo windy!,10996802186,10270100560,Run,5017.2,1602,3.132,4.486,52.7,2023-11-23,18:20:40
29,Grim weather,10981417990,10255298325,Run,5013.5,1693,2.961,4.4,52.8,2023-11-21,07:48:52
30,MAN that was so much harder than it used to be!,10970984407,10245290535,Run,10000.7,3576,2.797,4.074,39.3,2023-11-19,08:16:00
31,Good morning!,10945891059,10221154626,Run,5004.7,1641,3.05,4.462,52.7,2023-11-15,07:21:13
32,Lake is very dark in the winter,10901006671,10177839661,Run,6014.7,1965,3.061,4.288,24.9,2023-11-07,17:24:00
33,Keele and Jed 🥰,10880404543,10158196693,Run,5126.0,1832,2.798,4.782,0.0,2023-11-04,11:44:58
34,Gate was closed cos of Halloween ☹️,10858781225,10137586598,Run,5003.8,1744,2.869,4.33,68.5,2023-10-31,17:35:34
35,It’s the weekend wooooo,10834272749,10114231305,Run,6027.5,1988,3.032,4.754,26.4,2023-10-27,17:19:07
36,It’s gonna be a beaut day,10800956635,10082235523,Run,5006.8,1648,3.038,4.376,52.7,2023-10-22,09:24:24
37,Recovery successful!,10786325926,10068201662,Run,6027.6,2016,2.99,4.272,24.7,2023-10-19,17:25:38
38,Ben Nevis! 🏔️,10755184693,10038272776,Hike,16725.8,21044,0.795,2.78,1353.4,2023-10-14,08:43:01
39,Knee not feeling amazing,10670665236,9957234618,Run,5013.6,1786,2.807,3.642,52.9,2023-10-01,17:42:30
40,Robin Hood Half Marathon!,10621817786,9910582748,Run,21426.8,7521,2.583,4.236,154.7,2023-09-24,09:38:01
41,Malta babyyy,10596913843,9886825011,Run,5033.6,1739,2.895,4.994,31.7,2023-09-20,16:41:19
42,Friday vibes,10564135019,9855591157,Run,5012.6,1573,3.187,4.306,52.7,2023-09-15,18:45:39
43,Hiya Ella!,10544784649,9837116029,Run,15013.8,5382,2.79,4.164,50.6,2023-09-12,18:08:56
44,Drenched,10536720655,9829416721,Run,5000.3,1596,3.133,4.386,52.8,2023-09-11,18:21:19
45,It’s gonna be a beautiful day!,10491169829,9786203116,Run,5004.2,1697,2.949,4.446,52.9,2023-09-05,07:32:18
46,Nearly ready for Robin Hood,10478440260,9774169803,Run,19006.7,6755,2.814,5.532,144.8,2023-09-03,09:10:39
47,Recovery run,10460682705,9757410539,Run,5016.0,1744,2.876,3.774,52.9,2023-08-31,18:29:10
48,Shin splints 🥲,10447209277,9744777505,Run,10001.8,3360,2.977,4.212,38.7,2023-08-29,18:24:54
49,"Another Sunday, another run from mum & dad’s",10433082073,9731377788,Run,15011.3,5315,2.824,4.348,77.2,2023-08-27,14:22:42
50,First Park Run!,10423413650,9722279350,Run,5011.6,1541,3.252,4.308,3.0,2023-08-26,09:01:48
51,🌻,10414669634,9713998134,Run,5004.9,1523,3.286,6.476,52.9,2023-08-24,19:35:02
52,That felt GREAT,10400053085,9700186159,Run,5012.1,1549,3.236,4.624,52.8,2023-08-22,18:38:50
53,Hungover and hot,10385636490,9686732091,Run,9103.4,3181,2.862,4.122,21.9,2023-08-20,15:54:39
54,Windy!,10371613290,9673838365,Run,10008.1,3291,3.041,4.288,38.8,2023-08-18,17:34:54
55,Dead,10358099780,9661026839,Run,5004.4,1550,3.229,4.324,52.9,2023-08-16,18:25:31
56,Laps of the Regatta,10336529444,9640519742,Run,16011.4,5686,2.816,3.88,8.1,2023-08-13,15:06:04
57,Do I regret eating a large piece of cake before this run?,10309592228,9615031563,Run,5003.4,1624,3.081,4.586,20.7,2023-08-09,18:43:14
58,Jack’s first 5k!,10302134416,9607971164,Run,5051.0,1961,2.576,5.904,52.9,2023-08-08,18:12:19
59,Brighton pride!!!,10285837535,9592520138,Run,5003.4,1500,3.336,4.726,0.0,2023-08-06,10:34:51
60,Very wet run,10262772908,9570685404,Run,12005.6,4132,2.906,4.392,98.2,2023-08-02,18:12:24
61,Post tutoring slow run,10249264339,9557990511,Run,5508.7,1932,2.851,5.462,91.4,2023-07-31,20:22:13
62,Nice 1,10239597395,9548870205,Run,5010.3,1540,3.253,4.67,52.7,2023-07-30,11:12:40
63,This route is BEAUTIFUL,10223023047,9533158754,Run,10005.0,3385,2.956,4.338,38.7,2023-07-27,18:42:43
64,Lil Lidl trip,10209528058,9520338188,Run,8005.9,2675,2.993,4.41,35.6,2023-07-25,18:24:13
65,The grey clouds deceived me,10196320277,9507794456,Run,5009.0,1580,3.17,4.58,55.5,2023-07-23,14:06:56
66,Back on my home turf,10176492357,9489197976,Run,5038.5,1491,3.379,4.436,10.4,2023-07-20,18:21:56
67,Haven’t done that route in a while,10162862662,9476212799,Run,10024.0,3201,3.132,4.406,38.7,2023-07-18,18:02:41
68,Goodbye Keeeeeele,10149519424,9463556108,Run,5058.4,1620,3.122,5.13,7.2,2023-07-16,17:34:09
69,Running off my hol injuries,10123629794,9439042574,Run,6002.6,1851,3.243,5.614,25.7,2023-07-12,18:20:35
70,Corfu -> Albania -> Beeston,10110926658,9426956631,Run,5013.5,1513,3.314,4.754,52.5,2023-07-10,21:40:06
71,Pre holibobs run ,10031855725,9352608272,Run,5015.0,1551,3.233,4.468,52.7,2023-06-28,18:26:40
72,BeingReal on my run,10012138563,9333898515,Run,5005.2,1559,3.21,5.0,52.7,2023-06-25,18:30:32
73,Out with the bins,9995570999,9318264701,Run,6004.9,2089,2.875,4.058,43.7,2023-06-23,07:53:11
74,Another route PB woo,9971848549,9295980086,Run,5005.2,1520,3.293,4.78,52.7,2023-06-19,17:25:05
75,Grandma’s 80th!,9962579627,9287239589,Run,5431.9,2105,2.58,4.32,28.7,2023-06-18,09:36:24
76,Wowwee 27 yrs old,9949451286,9274880722,Run,6005.9,1979,3.035,4.38,26.4,2023-06-16,07:40:47
77,New PB for my route,9926802259,9253388028,Run,5005.2,1543,3.244,4.388,52.7,2023-06-12,19:48:43
78,That was TOUGH,9916928107,9244063735,Run,10013.3,3383,2.96,4.674,38.4,2023-06-11,10:05:49
79,Every evening should be like this,9900726226,9228695452,Run,5011.8,1602,3.128,4.278,52.7,2023-06-08,19:03:21
